Designator,Mid X,Mid Y,Rotation,Layer
D1,65.64398751318626,-126.11428840913426,342.5,top
D10,122.86256051318627,-134.19420840913426,342.5,top
D11,128.57596851318627,-116.07358640913425,342.5,top
D12,134.28937951318625,-97.95296540913425,342.5,top
D13,140.98318351318625,-139.90762040913427,342.5,top
D14,146.69659051318624,-121.78699540913425,342.5,top
D15,152.40999851318625,-103.66637540913425,342.5,top
D16,117.14914851318626,-152.31483040913426,342.5,top
D17,135.26976951318625,-158.02824040913427,342.5,top
D18,153.39039351318624,-163.74165140913428,342.5,top
D19,284.2487965131863,-126.09519259086575,17.5,top
D2,71.35739951318627,-107.99366840913426,342.5,top
D20,278.53538751318627,-107.97457459086574,17.5,top
D21,272.82197551318626,-89.85394959086575,17.5,top
D22,263.2714695131862,-122.74829359086574,17.5,top
D23,257.55805951318627,-104.62767359086574,17.5,top
D24,251.84464851318626,-86.50704959086575,17.5,top
D25,242.29414251318624,-119.40139359086575,17.5,top
D26,236.58073051318624,-101.28077159086574,17.5,top
D27,230.86732251318625,-83.16014859086575,17.5,top
D28,227.03022751318625,-134.17511459086575,17.5,top
D29,221.31681551318624,-116.05449359086575,17.5,top
D3,77.07080951318626,-89.87304640913425,342.5,top
D30,215.60340551318626,-97.93386759086575,17.5,top
D31,208.90960551318625,-139.88852559086573,17.5,top
D32,203.19619151318625,-121.76790159086575,17.5,top
D33,197.48278151318624,-103.64728159086575,17.5,top
D34,232.74363451318624,-152.29573759086574,17.5,top
D35,214.62301351318624,-158.00914659086573,17.5,top
D36,196.50239151318624,-163.72255759086573,17.5,top
D4,86.62131551318626,-122.76738640913426,342.5,top
D5,92.33472651318625,-104.64676640913426,342.5,top
D6,98.04813451318626,-86.52614240913425,342.5,top
D7,107.59864051318625,-119.42048840913425,342.5,top
D8,113.31205251318626,-101.29986640913425,342.5,top
D9,119.02546251318626,-83.17924340913426,342.5,top
JST1,174.916112,-138.300235,180.0,top
MCU1,174.91611,-118.030233,270.0,top
S1,68.26650534866326,-115.62434069169487,342.5,top
S10,125.48507634866326,-123.70426069169487,342.5,top
S11,131.19848634866327,-105.58363669169488,342.5,top
S12,136.91189634866325,-87.46301369169487,342.5,top
S13,143.60569834866325,-129.41767069169487,342.5,top
S14,149.31910834866324,-111.29704369169487,342.5,top
S15,155.03251934866324,-93.17642469169488,342.5,top
S16,119.77166434866325,-141.8248806916949,342.5,top
S17,137.89228834866324,-147.5382906916949,342.5,top
S18,156.01290734866325,-153.25170069169488,342.5,top
S19,280.3802484815567,-115.99811400047868,17.5,top
S2,73.97991134866325,-97.50371769169487,342.5,top
S20,274.66683948155674,-97.87749300047868,17.5,top
S21,268.95342648155673,-79.75687300047869,17.5,top
S22,259.4029184815567,-112.65121500047869,17.5,top
S23,253.6895094815567,-94.53059200047869,17.5,top
S24,247.9760984815567,-76.40996900047868,17.5,top
S25,238.42559448155671,-109.30431400047868,17.5,top
S26,232.7121834815567,-91.18368900047868,17.5,top
S27,226.9987714815567,-73.06307100047869,17.5,top
S28,223.16167548155673,-124.07803600047869,17.5,top
S29,217.4482674815567,-105.95741300047868,17.5,top
S3,79.69332434866325,-79.38309369169487,342.5,top
S30,211.7348564815567,-87.83679100047868,17.5,top
S31,205.04105448155673,-129.7914450004787,17.5,top
S32,199.32764248155672,-111.67082500047869,17.5,top
S33,193.6142354815567,-93.55020100047868,17.5,top
S34,228.8750874815567,-142.19865800047867,17.5,top
S35,210.7544644815567,-147.9120660004787,17.5,top
S36,192.6338424815567,-153.6254780004787,17.5,top
S4,89.24383234866326,-112.27743969169487,342.5,top
S5,94.95724134866326,-94.15681569169487,342.5,top
S6,100.67065134866326,-76.03619069169487,342.5,top
S7,110.22115834866325,-108.93053569169487,342.5,top
S8,115.93457034866326,-90.80991669169487,342.5,top
S9,121.64797934866326,-72.68929469169487,342.5,top
T1,174.916113,-147.800233,0.0,top
