Designator,Mid X,Mid Y,Rotation,Layer
BT1,73.81875,-96.371875,180.0,bottom
D1,104.775,-58.340625,90.0,top
D10,142.875,-96.2025,90.0,top
D12,104.775,-115.2525,90.0,top
D13,123.825,-115.2525,90.0,top
D14,142.875,-115.2525,90.0,top
D2,123.825,-58.340625,90.0,top
D3,142.875,-58.340625,90.0,top
D4,104.775,-77.1525,90.0,top
D5,123.825,-77.1525,90.0,top
D6,142.875,-77.390625,90.0,top
D8,104.775,-96.440625,90.0,top
D9,123.825,-96.2025,90.0,top
S1,95.25,-59.53125,0.0,top
S10,133.35,-97.63125,0.0,top
S12,95.25,-116.68125,0.0,top
S13,114.3,-116.68125,0.0,top
S14,133.35,-116.68125,0.0,top
S2,114.3,-59.53125,0.0,top
S3,133.35,-59.53125,0.0,top
S4,95.25,-78.58125,0.0,top
S5,114.3,-78.58125,0.0,top
S6,133.35,-78.58125,0.0,top
S8,95.25,-97.63125,0.0,top
S9,114.3,-97.63125,0.0,top
SW1,75.06875,-83.7375,0.0,top
