Designator,Mid X,Mid Y,Rotation,Layer
D1,56.67001451318625,-117.63264740913425,342.5,top
D10,113.88858251318626,-125.71256640913425,342.5,top
D11,119.60199351318626,-107.59194540913425,342.5,top
D12,125.31540151318626,-89.47132240913426,342.5,top
D13,132.00920651318626,-131.42597740913425,342.5,top
D14,137.72261451318624,-113.30535840913426,342.5,top
D15,143.43602451318625,-95.18473240913426,342.5,top
D16,108.17517451318626,-143.83318840913427,342.5,top
D17,126.29579751318626,-149.54660040913427,342.5,top
D18,144.41641451318625,-155.26000940913426,342.5,top
D19,275.27482481389205,-117.6135535445827,17.5,top
D2,62.383421513186256,-99.51202640913425,342.5,top
D20,269.56141581389204,-99.4929295445827,17.5,top
D21,263.8480048138921,-81.37231054458269,17.5,top
D22,254.29749181389207,-114.2666565445827,17.5,top
D23,248.58408581389207,-96.1460315445827,17.5,top
D24,242.87067781389206,-78.0254065445827,17.5,top
D25,233.32016781389206,-110.91975254458269,17.5,top
D26,227.60675781389207,-92.79913254458269,17.5,top
D27,221.89334781389206,-74.67850554458269,17.5,top
D28,218.05625181389206,-125.6934745445827,17.5,top
D29,212.34283981389206,-107.5728525445827,17.5,top
D3,68.09683351318625,-81.39140240913426,342.5,top
D30,206.62942981389207,-89.4522275445827,17.5,top
D31,199.93562581389207,-131.40688454458268,17.5,top
D32,194.22221881389206,-113.28625954458269,17.5,top
D33,188.50880781389208,-95.16563954458269,17.5,top
D34,223.76966181389207,-143.8140945445827,17.5,top
D35,205.64903681389205,-149.52750554458268,17.5,top
D36,187.52841781389208,-155.2409175445827,17.5,top
D4,77.64734151318626,-114.28574440913425,342.5,top
D5,83.36074851318627,-96.16512240913426,342.5,top
D6,89.07416151318625,-78.04450340913425,342.5,top
D7,98.62466751318627,-110.93884840913425,342.5,top
D8,104.33807751318626,-92.81822340913425,342.5,top
D9,110.05148851318626,-74.69760340913426,342.5,top
MCU1,165.942139,-101.818591,0.0,top
S1,59.29253034866325,-107.14269869169487,342.5,top
S10,116.51110034866326,-115.22262069169487,342.5,top
S11,122.22451434866325,-97.10199569169487,342.5,top
S12,127.93792134866325,-78.98137369169487,342.5,top
S13,134.63172134866323,-120.93602369169487,342.5,top
S14,140.34513434866324,-102.81540069169488,342.5,top
S15,146.05854334866325,-84.69477969169488,342.5,top
S16,110.79769134866325,-133.34323969169486,342.5,top
S17,128.91831234866325,-139.0566516916949,342.5,top
S18,147.03893134866325,-144.77005869169489,342.5,top
S19,271.4062744815567,-107.51647200047869,17.5,top
S2,65.00594034866324,-89.02207769169488,342.5,top
S20,265.69286548155674,-89.39585300047868,17.5,top
S21,259.97945048155674,-71.27522800047869,17.5,top
S22,250.42894848155672,-104.16957300047868,17.5,top
S23,244.7155354815567,-86.04895000047868,17.5,top
S24,239.00212748155673,-67.92833000047868,17.5,top
S25,229.45161848155672,-100.82267100047868,17.5,top
S26,223.7382124815567,-82.70205000047868,17.5,top
S27,218.02480048155672,-64.58143100047869,17.5,top
S28,214.1876984815567,-115.59639500047868,17.5,top
S29,208.47429148155672,-97.47577100047869,17.5,top
S3,70.71935134866325,-70.90145269169487,342.5,top
S30,202.7608824815567,-79.35514700047868,17.5,top
S31,196.0670774815567,-121.30980600047869,17.5,top
S32,190.3536724815567,-103.18918000047869,17.5,top
S33,184.6402624815567,-85.06856000047868,17.5,top
S34,219.9011134815567,-133.71701400047868,17.5,top
S35,201.7804904815567,-139.4304260004787,17.5,top
S36,183.6598684815567,-145.14383500047867,17.5,top
S4,80.26985734866325,-103.79579669169487,342.5,top
S5,85.98326734866326,-85.67517669169487,342.5,top
S6,91.69667534866326,-67.55455169169487,342.5,top
S7,101.24718334866326,-100.44889469169487,342.5,top
S8,106.96059734866326,-82.32827469169487,342.5,top
S9,112.67400534866326,-64.20764969169487,342.5,top
